CaseNum,RYCohort,donatesum,SpouseAlum,SportsAlum,UGAlumAwards,OtherUGAct,EverAssigned,BoardMember,ChildAlum,ParentAlum,SiblingAlum,GradDegree,TotalReunions,OnePlusEvents,Years Lapsed
186,1969,2,0,0,0,1,0,0,0,0,0,1,1,1,0
187,1954,1,0,0,0,0,1,0,0,0,0,0,5,1,1
188,1969,2,0,0,0,0,0,0,0,0,0,0,0,0,1
189,1964,0,0,0,0,0,0,0,0,0,0,0,0,1,13
190,1959,0,0,0,0,0,0,0,0,0,0,0,0,1,48
191,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,13
192,1969,0,0,0,0,0,0,0,0,0,0,0,0,1,48
193,1969,0,0,0,0,0,0,1,0,0,0,0,0,0,31
194,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
195,1969,0,0,0,0,0,0,0,0,0,1,0,0,0,22
196,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,18
197,1964,0,0,0,0,0,0,0,0,0,0,0,0,1,29
198,1969,0,0,0,0,1,0,0,0,0,0,0,0,0,48
199,1954,1,0,1,0,0,0,0,0,0,0,0,3,1,5
200,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
201,1969,1,0,0,0,0,0,0,0,0,0,0,4,1,8
202,1969,2,0,0,0,0,0,0,0,0,0,0,0,0,8
203,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
204,1969,0,0,0,0,1,0,0,0,0,0,0,0,0,2
205,1954,2,0,1,0,1,0,0,0,0,0,0,0,0,8
206,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
207,1969,0,0,1,0,0,0,0,0,0,0,0,0,0,25
208,1959,0,0,0,0,1,0,1,0,0,0,0,0,0,48
209,1969,2,1,0,0,0,0,0,0,0,0,1,1,1,1
210,1954,2,0,0,0,1,0,1,0,0,0,0,6,1,1
211,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,26
212,1964,2,0,1,0,0,0,0,0,0,0,0,0,0,1
213,1959,0,0,0,0,0,0,0,0,0,0,0,0,0,48
214,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,32
215,1969,0,0,0,0,0,0,0,1,1,0,0,2,1,5
216,1969,1,0,0,0,0,0,0,0,0,0,0,1,1,2
217,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
218,1969,1,0,0,0,0,0,0,0,0,0,0,5,1,1
219,1969,0,0,0,0,0,0,0,0,0,0,0,2,1,48
220,1969,1,1,0,0,1,0,0,0,0,0,0,1,0,13
221,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,32
222,1969,0,1,0,0,0,0,0,0,0,0,0,3,0,32
223,1964,0,0,0,0,1,0,0,0,0,0,0,1,1,27
224,1969,2,1,0,0,1,1,0,0,0,0,0,6,1,1
225,1969,2,0,0,0,0,1,1,0,0,0,1,1,1,2
226,1954,1,0,1,0,1,0,0,0,0,0,0,6,1,21
227,1969,1,0,1,0,0,0,0,0,0,0,1,3,1,1
228,1959,2,0,0,0,0,0,0,0,0,0,0,0,1,5
229,1964,2,0,0,0,0,0,0,1,0,0,0,7,1,1
230,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
231,1964,0,0,1,0,0,0,0,0,0,0,1,3,0,48
232,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
233,1969,0,0,0,0,1,0,0,0,0,0,0,0,0,16
234,1969,1,0,1,1,1,0,0,0,0,0,0,1,1,1
235,1954,1,0,0,0,0,0,0,0,0,0,0,0,0,8
236,1969,1,0,0,0,0,0,1,0,0,0,0,0,0,8
237,1959,0,0,0,0,0,0,0,0,0,0,0,0,1,48
238,1969,0,0,0,0,1,0,0,0,0,0,0,0,0,21
239,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,48
240,1959,2,0,0,0,0,0,0,0,0,0,0,2,1,5
241,1969,2,0,0,0,0,0,0,0,0,0,0,0,0,1
242,1964,2,0,1,0,0,1,1,1,0,1,1,13,1,1
243,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,25
244,1959,1,0,0,0,0,0,0,0,0,0,0,0,1,14
245,1969,1,0,0,0,0,0,0,0,0,0,0,1,1,15
246,1959,1,0,0,0,0,0,0,0,0,0,0,5,1,1
247,1964,1,0,1,0,0,0,1,0,0,0,0,1,1,7
248,1959,1,0,0,0,0,0,0,0,0,0,0,0,1,1
249,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
250,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,37
251,1964,1,0,0,0,0,0,0,0,0,0,0,0,0,7
252,1964,1,0,0,0,0,1,0,1,0,1,1,5,1,1
253,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
254,1954,1,0,0,0,0,0,0,0,0,0,0,0,0,13
